RecId,EqId,EqName,Year,Station,StationSeqNo,StationId,Magnitude,Strike,Dip,Rake,Mechanism,HypoCtrLatitude ,HypoCtrLongitude,HypocenterDepth,Fault Name,EpiD,HypD,JBD,CRD,RmsD,ClstD,Rx,Vs30,StationLatitude,StationLongitude,FileNameHorizontal1,FileNameHorizontal2,FileNameVertical,H1Azimith,H2Azimuth,LowestUsableFreqH1,LowestUsableFreqH2,Lowest Usable Freq,PGA,PGV,PGD,T0.010S,T0.020S,T0.022S,T0.025S,T0.029S,T0.030S,T0.032S,T0.035S,T0.036S,T0.040S,T0.042S,T0.044S,T0.045S,T0.046S,T0.048S,T0.050S,T0.055S,T0.060S,T0.065S,T0.067S,T0.070S,T0.075S,T0.080S,T0.085S,T0.090S,T0.095S,T0.100S,T0.110S,T0.120S,T0.130S,T0.133S,T0.140S,T0.150S,T0.160S,T0.170S,T0.180S,T0.190S,T0.200S,T0.220S,T0.240S,T0.250S,T0.260S,T0.280S,T0.290S,T0.300S,T0.320S,T0.340S,T0.350S,T0.360S,T0.380S,T0.400S,T0.420S,T0.440S,T0.450S,T0.460S,T0.480S,T0.500S,T0.550S,T0.600S,T0.650S,T0.667S,T0.700S,T0.750S,T0.800S,T0.850S,T0.900S,T0.950S,T1.000S,T1.100S,T1.200S,T1.300S,T1.400S,T1.500S,T1.600S,T1.700S,T1.800S,T1.900S,T2.000S,T2.200S,T2.400S,T2.500S,T2.600S,T2.800S,T3.000S,T3.200S,T3.400S,T3.500S,T3.600S,T3.800S,T4.000S,T4.200S,T4.400S,T4.600S,T4.800S,T5.000S,T5.500S,T6.000S,T6.500S,T7.000S,T7.500S,T8.000S,T8.500S,T9.000S,T9.500S,T10.000S,T11.000S,T12.000S,T13.000S,T14.000S,T15.000S,T20.000S,AveStrike ,Damping,RotD
464,0090,Morgan Hill,1984,Hollister Differential Array #3,189,1656,6.19,148,90,180,0,37.3060,-121.6950,8.5,Calaveras fault south,52.82,53.50,26.42,,38.26,26.43,3.35,215.54,36.888,-121.413,MORGAN\HD3255.AT2,MORGAN\HD3345.AT2,MORGAN\HD3-UP.AT2,255,345,0.088,0.125,0.125,7.5245E-02,9.0250E+00,3.0258E+00,7.5278E-02,7.5790E-02,7.5958E-02,7.6072E-02,7.6259E-02,7.6359E-02,7.6802E-02,7.7867E-02,7.8321E-02,8.0068E-02,8.1318E-02,8.0744E-02,7.9428E-02,8.0749E-02,8.2474E-02,8.4391E-02,8.8726E-02,9.1620E-02,9.1803E-02,9.2524E-02,9.4225E-02,1.0959E-01,1.1576E-01,1.2837E-01,1.4408E-01,1.4270E-01,1.5324E-01,1.9732E-01,2.1949E-01,2.2954E-01,2.2318E-01,2.2756E-01,2.1988E-01,2.2385E-01,2.3469E-01,2.6183E-01,2.5790E-01,2.4075E-01,2.4112E-01,2.0484E-01,1.8108E-01,1.7839E-01,1.6192E-01,1.6072E-01,1.8094E-01,1.8959E-01,1.6947E-01,1.7713E-01,1.8409E-01,1.6373E-01,1.5937E-01,1.5638E-01,1.6071E-01,1.6143E-01,1.6187E-01,1.7266E-01,1.7526E-01,1.4721E-01,1.2200E-01,1.5541E-01,1.4942E-01,1.4925E-01,1.4001E-01,1.4064E-01,1.4254E-01,1.4206E-01,1.3805E-01,1.3115E-01,1.4877E-01,1.4758E-01,1.2155E-01,1.1050E-01,8.8243E-02,6.8184E-02,5.3886E-02,4.6103E-02,3.8855E-02,3.0828E-02,2.5150E-02,2.2201E-02,2.5836E-02,2.8530E-02,2.7514E-02,2.5400E-02,1.9737E-02,1.5875E-02,1.4979E-02,1.3920E-02,1.1664E-02,1.0482E-02,9.6232E-03,9.6918E-03,1.0154E-02,1.0961E-02,1.2145E-02,1.2606E-02,1.0157E-02,8.8399E-03,7.6913E-03,6.6516E-03,5.7429E-03,4.6784E-03,4.0802E-03,3.5831E-03,3.1958E-03,2.4284E-03,1.9334E-03,1.5158E-03,1.1839E-03,9.2845E-04,4.5053E-04,148,5,50
465,0090,Morgan Hill,1984,Hollister Diff Array #4,,,6.19,148,90,180,0,37.3060,-121.6950,8.5,Calaveras fault south,52.82,53.50,26.42,,38.26,26.43,3.35,,,,MORGAN\HD4255.AT2,MORGAN\HD4345.AT2,MORGAN\HD4-UP.AT2,255,345,0.100,0.100,0.100,9.5451E-02,1.0600E+01,3.4666E+00,9.5463E-02,9.5829E-02,9.5858E-02,9.5992E-02,9.6118E-02,9.5894E-02,9.5966E-02,9.6441E-02,9.6497E-02,9.6649E-02,9.6659E-02,9.7230E-02,9.7604E-02,9.8038E-02,9.8109E-02,9.7792E-02,9.8495E-02,9.9928E-02,1.0210E-01,1.0436E-01,1.0679E-01,1.1273E-01,1.1904E-01,1.1454E-01,1.2532E-01,1.2957E-01,1.3876E-01,1.8333E-01,2.1211E-01,1.9240E-01,1.9567E-01,1.9707E-01,1.9301E-01,2.3566E-01,2.4257E-01,2.9326E-01,2.6464E-01,2.3985E-01,2.6265E-01,2.2867E-01,2.2814E-01,2.2530E-01,2.4979E-01,2.4825E-01,2.5128E-01,2.5264E-01,2.3097E-01,2.1043E-01,2.2602E-01,2.4939E-01,2.3283E-01,2.3025E-01,2.2013E-01,2.1996E-01,2.1281E-01,2.0043E-01,1.8616E-01,1.6998E-01,1.6954E-01,1.8505E-01,1.8765E-01,1.6953E-01,1.6920E-01,1.7391E-01,1.7323E-01,1.6869E-01,1.6719E-01,1.6121E-01,1.7229E-01,1.5803E-01,1.2758E-01,1.2572E-01,9.5255E-02,6.7600E-02,5.5986E-02,4.7015E-02,4.3427E-02,3.5565E-02,2.8139E-02,2.7258E-02,2.8480E-02,2.8733E-02,2.8316E-02,2.5059E-02,1.9594E-02,1.6097E-02,1.4889E-02,1.3515E-02,1.2029E-02,1.0108E-02,1.0126E-02,9.8612E-03,1.0233E-02,1.0960E-02,1.1906E-02,1.2062E-02,9.8698E-03,8.8342E-03,7.6536E-03,6.8160E-03,5.7257E-03,4.6420E-03,4.1896E-03,3.6814E-03,3.1607E-03,2.3840E-03,1.8734E-03,1.4908E-03,1.1902E-03,9.6082E-04,4.0358E-04,148,5,50
466,0090,Morgan Hill,1984,Hollister Diff Array #5,,,6.19,148,90,180,0,37.3060,-121.6950,8.5,Calaveras fault south,52.82,53.50,26.42,,38.26,26.43,3.35,,,,MORGAN\HD5255.AT2,MORGAN\HD5345.AT2,MORGAN\HD5-UP.AT2,255,345,0.038,0.100,0.100,8.5685E-02,1.1258E+01,3.8004E+00,8.5841E-02,8.6271E-02,8.6410E-02,8.6915E-02,8.7284E-02,8.7174E-02,8.7420E-02,8.8294E-02,8.8415E-02,8.9607E-02,9.0122E-02,9.1011E-02,9.1671E-02,9.2145E-02,9.3006E-02,9.3326E-02,9.2697E-02,9.3518E-02,9.8605E-02,1.0093E-01,1.0285E-01,1.2289E-01,1.3771E-01,1.3754E-01,1.4384E-01,1.4528E-01,1.5674E-01,1.6153E-01,1.7991E-01,2.0092E-01,2.0144E-01,1.7063E-01,1.4334E-01,1.4458E-01,1.6996E-01,2.0993E-01,2.1680E-01,1.9436E-01,2.1152E-01,2.3703E-01,2.4412E-01,2.1760E-01,1.9010E-01,1.9988E-01,2.0139E-01,1.7760E-01,1.9225E-01,1.9260E-01,1.8072E-01,1.5356E-01,1.6358E-01,1.8050E-01,2.1216E-01,2.1765E-01,2.1530E-01,2.1031E-01,1.9877E-01,1.9492E-01,2.0298E-01,1.9906E-01,1.9947E-01,1.9087E-01,1.9213E-01,1.9824E-01,1.6939E-01,1.5112E-01,1.4899E-01,1.4878E-01,1.6031E-01,1.7474E-01,1.4272E-01,1.1277E-01,1.0068E-01,7.4965E-02,5.6697E-02,4.7131E-02,3.9117E-02,3.1599E-02,2.5131E-02,2.2087E-02,2.2251E-02,2.4490E-02,2.4181E-02,2.2720E-02,1.9353E-02,1.5527E-02,1.4862E-02,1.3949E-02,1.1855E-02,1.0575E-02,9.8739E-03,9.8886E-03,1.0022E-02,1.0967E-02,1.1683E-02,1.1754E-02,1.0183E-02,8.9521E-03,7.5965E-03,6.5133E-03,5.7917E-03,4.7762E-03,4.0013E-03,3.4202E-03,2.9941E-03,2.2743E-03,1.7320E-03,1.3993E-03,1.1404E-03,9.4056E-04,4.5789E-04,148,5,50
467,0090,Morgan Hill,1984,Hollister Diff. Array,,,6.19,148,90,180,0,37.3060,-121.6950,8.5,Calaveras fault south,52.82,53.50,26.42,,38.26,26.43,3.35,,,,MORGAN\HDA165.AT2,MORGAN\HDA255.AT2,MORGAN\HDA-UP.AT2,165,255,0.250,0.063,0.250,9.6066E-02,1.0025E+01,3.8288E+00,9.6092E-02,9.6222E-02,9.6410E-02,9.6366E-02,9.6427E-02,9.6518E-02,9.6658E-02,9.7741E-02,9.7954E-02,9.8039E-02,9.7458E-02,9.7047E-02,9.7365E-02,9.7978E-02,9.9568E-02,1.0134E-01,1.0205E-01,1.0276E-01,1.0978E-01,1.2080E-01,1.3233E-01,1.3706E-01,1.3343E-01,1.5096E-01,1.5306E-01,1.6440E-01,1.6670E-01,1.8059E-01,1.7000E-01,1.7430E-01,1.7613E-01,1.9074E-01,2.0847E-01,2.4927E-01,2.7450E-01,2.7188E-01,3.1764E-01,3.8526E-01,3.1739E-01,2.4406E-01,2.1022E-01,1.8372E-01,2.1630E-01,2.0809E-01,1.9138E-01,2.0502E-01,1.8835E-01,1.8337E-01,1.7699E-01,1.7481E-01,1.8513E-01,1.8659E-01,1.8694E-01,1.8643E-01,1.9326E-01,1.7556E-01,1.5845E-01,1.8961E-01,1.5536E-01,1.6826E-01,1.7713E-01,1.8216E-01,2.0514E-01,1.9608E-01,1.7451E-01,1.4342E-01,1.3362E-01,1.3777E-01,1.5921E-01,1.8283E-01,1.5396E-01,1.1940E-01,9.9330E-02,7.3745E-02,5.8446E-02,5.0000E-02,4.1705E-02,3.4653E-02,2.5425E-02,2.2960E-02,2.3274E-02,2.3005E-02,2.1230E-02,1.7777E-02,1.7624E-02,1.4888E-02,1.3532E-02,1.2530E-02,1.1149E-02,1.0149E-02,9.2128E-03,9.8897E-03,1.0387E-02,1.1004E-02,1.1739E-02,1.0813E-02,9.2113E-03,8.2339E-03,7.3492E-03,6.7052E-03,6.2169E-03,5.3412E-03,4.6742E-03,4.1420E-03,3.5800E-03,2.7436E-03,2.1736E-03,1.7656E-03,1.4306E-03,1.1643E-03,4.8706E-04,148,5,50
468,0090,Morgan Hill,1984,Los Banos,441,56012,6.19,148,90,180,0,37.3060,-121.6950,8.5,Calaveras fault south,80.26,80.70,63.16,,71.22,63.16,-53.86,262.05,37.106,-120.825,MORGAN\LBN090.AT2,MORGAN\LBN180.AT2,MORGAN\LBN-UP.AT2,90,180,0.088,0.250,0.250,5.7728E-02,8.0094E+00,3.2910E+00,5.7732E-02,5.7803E-02,5.7826E-02,5.7915E-02,5.7815E-02,5.7788E-02,5.7865E-02,5.7807E-02,5.7878E-02,5.8043E-02,5.7912E-02,5.7789E-02,5.7880E-02,5.8042E-02,5.8205E-02,5.8597E-02,5.9247E-02,5.9894E-02,5.9756E-02,5.9731E-02,5.9358E-02,5.9148E-02,5.8395E-02,5.9467E-02,5.9672E-02,5.9224E-02,6.1333E-02,6.3838E-02,6.4367E-02,6.7169E-02,6.7667E-02,6.8000E-02,6.7628E-02,7.0192E-02,6.9259E-02,7.0727E-02,7.5310E-02,8.1058E-02,8.8382E-02,8.7422E-02,9.3037E-02,9.9539E-02,1.1470E-01,1.2956E-01,1.4180E-01,1.5390E-01,1.5630E-01,1.5515E-01,1.5953E-01,1.6708E-01,1.6936E-01,1.6748E-01,1.6323E-01,1.6002E-01,1.5645E-01,1.5393E-01,1.5387E-01,1.4271E-01,1.4941E-01,1.5156E-01,1.5005E-01,1.4228E-01,1.2910E-01,1.1438E-01,9.9562E-02,9.0497E-02,8.1463E-02,7.4194E-02,6.7562E-02,7.6921E-02,8.1381E-02,7.4294E-02,7.8057E-02,7.9551E-02,7.5035E-02,6.2344E-02,5.6232E-02,5.6135E-02,5.1614E-02,4.7899E-02,4.4835E-02,3.5163E-02,2.4945E-02,1.9971E-02,1.8439E-02,1.6529E-02,1.5234E-02,1.4758E-02,1.3408E-02,1.1834E-02,1.0962E-02,1.0550E-02,9.6678E-03,9.0252E-03,9.4902E-03,8.6332E-03,6.5069E-03,5.1956E-03,4.8785E-03,4.2022E-03,3.8135E-03,3.1914E-03,2.4446E-03,1.9613E-03,1.7464E-03,1.5981E-03,1.3873E-03,1.2325E-03,9.5288E-04,7.7802E-04,5.0505E-04,148,5,50
469,0090,Morgan Hill,1984,SF Intern. Airport,471,58223,6.19,148,90,180,0,37.3060,-121.6950,8.5,Calaveras fault south,71.36,71.86,70.93,,82.5,70.93,33.79,190.14,37.622,-122.398,MORGAN\SFO050.AT2,MORGAN\SFO320.AT2,MORGAN\SFO-UP.AT2,50,320,0.250,0.250,0.250,4.7342E-02,3.1577E+00,4.5396E-01,4.7386E-02,4.7663E-02,4.7718E-02,4.7904E-02,4.8357E-02,4.8593E-02,4.8532E-02,4.8080E-02,4.7889E-02,4.8720E-02,4.9036E-02,4.8892E-02,4.9027E-02,4.9015E-02,4.9335E-02,4.9723E-02,5.2445E-02,5.1677E-02,5.2207E-02,5.3268E-02,5.4059E-02,5.5199E-02,6.0927E-02,6.2510E-02,6.2744E-02,6.0938E-02,5.9419E-02,6.2004E-02,6.2985E-02,7.2031E-02,7.4604E-02,7.9310E-02,7.9422E-02,8.2984E-02,9.3448E-02,9.8293E-02,1.1745E-01,1.3378E-01,1.2208E-01,1.2430E-01,1.3314E-01,1.4838E-01,1.5958E-01,1.6398E-01,1.7563E-01,1.6956E-01,1.3517E-01,1.3273E-01,1.3508E-01,1.2796E-01,1.1007E-01,1.0680E-01,1.0540E-01,1.0170E-01,9.7164E-02,9.8325E-02,9.8306E-02,8.5464E-02,5.7512E-02,4.7585E-02,4.8783E-02,4.7970E-02,5.0146E-02,5.3093E-02,5.9021E-02,5.6767E-02,5.8410E-02,5.6911E-02,4.3822E-02,3.2564E-02,2.7973E-02,2.2617E-02,1.6416E-02,1.4881E-02,1.3503E-02,1.3384E-02,1.2041E-02,9.9631E-03,7.9318E-03,6.8233E-03,6.5846E-03,6.0641E-03,4.8994E-03,4.1527E-03,3.9004E-03,3.7110E-03,3.4699E-03,3.2273E-03,2.6704E-03,2.1703E-03,2.1950E-03,2.1154E-03,1.9271E-03,1.7262E-03,1.5734E-03,1.5569E-03,9.9259E-04,8.1491E-04,5.9554E-04,4.9717E-04,3.9602E-04,3.5089E-04,3.0574E-04,2.6797E-04,2.1728E-04,1.6802E-04,1.3221E-04,1.1201E-04,9.5073E-05,8.3452E-05,4.9148E-05,148,5,50
470,0090,Morgan Hill,1984,"San Juan Bautista, 24 Polk St",418,47126,6.19,148,90,180,0,37.3060,-121.6950,8.5,Calaveras fault south,51.50,52.20,27.15,,38.05,27.15,14.6,335.5,36.86,-121.54,MORGAN\SJB213.AT2,MORGAN\SJB303.AT2,MORGAN\SJB-UP.AT2,213,303,0.163,0.100,0.163,3.7035E-02,4.4836E+00,1.7046E+00,3.7088E-02,3.7212E-02,3.7337E-02,3.7399E-02,3.7571E-02,3.7564E-02,3.7766E-02,3.8037E-02,3.8051E-02,3.8600E-02,3.8843E-02,3.8732E-02,3.8805E-02,3.8871E-02,3.9018E-02,3.8958E-02,3.9850E-02,4.1564E-02,4.1219E-02,4.2176E-02,4.6419E-02,5.1197E-02,4.8827E-02,4.9914E-02,5.5580E-02,5.9047E-02,5.7814E-02,6.3225E-02,5.7581E-02,6.4126E-02,6.4958E-02,6.8630E-02,7.6531E-02,8.2258E-02,8.8715E-02,9.7966E-02,1.0914E-01,1.0907E-01,9.5681E-02,8.2448E-02,7.5880E-02,8.5788E-02,8.6864E-02,8.8172E-02,9.3704E-02,8.9423E-02,8.6325E-02,8.0594E-02,7.8562E-02,7.8093E-02,7.8381E-02,8.6787E-02,8.4730E-02,8.8321E-02,8.7698E-02,7.1488E-02,7.6550E-02,7.7368E-02,7.1654E-02,7.7681E-02,8.1500E-02,8.6361E-02,9.6636E-02,7.4928E-02,6.6049E-02,6.7963E-02,6.4438E-02,7.8263E-02,5.9082E-02,3.9270E-02,3.9297E-02,4.2249E-02,3.5488E-02,2.8113E-02,2.5441E-02,2.3987E-02,2.8094E-02,2.6486E-02,2.5070E-02,2.5961E-02,2.5682E-02,2.3183E-02,1.6472E-02,1.1608E-02,1.1001E-02,1.2047E-02,1.1825E-02,1.1972E-02,1.2282E-02,1.1953E-02,9.8265E-03,7.9147E-03,6.8420E-03,6.0168E-03,5.2263E-03,3.6662E-03,3.5482E-03,3.6503E-03,3.4880E-03,3.2870E-03,2.8657E-03,2.2872E-03,1.9021E-03,1.5381E-03,1.2458E-03,8.1941E-04,6.9419E-04,5.8082E-04,4.9144E-04,4.2753E-04,2.4212E-04,148,5,50
471,0090,Morgan Hill,1984,San Justo Dam (L Abut),186,1655,6.19,148,90,180,0,37.3060,-121.6950,8.5,Calaveras fault south,57.74,58.36,31.88,,43.65,31.88,9.35,543.63,36.827,-121.445,MORGAN\SJL270.AT2,MORGAN\SJL360.AT2,MORGAN\SJL-UP.AT2,270,0,0.063,0.125,0.125,7.5804E-02,6.8105E+00,3.1836E+00,7.5904E-02,7.6116E-02,7.6293E-02,7.7160E-02,7.8054E-02,7.7987E-02,7.7522E-02,7.8205E-02,7.8347E-02,7.8774E-02,7.8859E-02,7.8741E-02,7.8730E-02,7.9452E-02,8.0210E-02,8.1537E-02,8.1805E-02,8.1515E-02,8.1887E-02,8.2865E-02,8.6618E-02,8.7370E-02,9.2233E-02,9.4836E-02,1.0441E-01,1.1187E-01,1.1324E-01,1.0575E-01,1.1180E-01,1.2119E-01,1.2431E-01,1.4558E-01,1.5347E-01,1.9470E-01,2.0688E-01,2.0367E-01,2.0040E-01,2.0082E-01,1.8888E-01,2.2602E-01,2.5278E-01,2.6183E-01,2.5201E-01,2.6057E-01,2.4596E-01,2.1508E-01,2.1228E-01,2.0221E-01,2.1161E-01,2.2529E-01,2.4465E-01,3.1739E-01,3.3244E-01,3.1771E-01,2.9429E-01,2.2780E-01,1.7697E-01,1.3529E-01,1.1310E-01,1.0244E-01,1.0664E-01,1.0518E-01,9.8897E-02,1.1364E-01,1.0559E-01,9.3789E-02,9.3205E-02,7.8052E-02,8.7046E-02,8.1308E-02,6.2541E-02,5.3459E-02,4.1959E-02,4.0987E-02,3.5629E-02,3.2371E-02,3.0638E-02,3.0903E-02,2.6427E-02,1.9242E-02,1.9605E-02,1.9993E-02,2.1722E-02,2.3608E-02,2.4788E-02,2.2388E-02,2.0642E-02,1.8593E-02,1.5861E-02,1.3874E-02,1.1761E-02,9.7783E-03,8.3812E-03,8.4696E-03,8.6178E-03,6.8625E-03,5.7850E-03,6.3900E-03,6.5255E-03,6.5313E-03,6.0471E-03,5.2803E-03,4.7027E-03,4.2093E-03,3.6012E-03,2.5419E-03,1.8189E-03,1.3753E-03,1.0403E-03,8.4052E-04,3.6752E-04,148,5,50
472,0090,Morgan Hill,1984,San Justo Dam (R Abut),187,1655,6.19,148,90,180,0,37.3060,-121.6950,8.5,Calaveras fault south,57.74,58.36,31.88,,43.65,31.88,9.35,543.63,36.827,-121.445,MORGAN\SJR270.AT2,MORGAN\SJR360.AT2,MORGAN\SJR-UP.AT2,270,0,0.125,0.125,0.125,6.7254E-02,6.3114E+00,3.0143E+00,6.7269E-02,6.7548E-02,6.7653E-02,6.7773E-02,6.7938E-02,6.8075E-02,6.7905E-02,6.8227E-02,6.8141E-02,6.8805E-02,6.9039E-02,6.9786E-02,7.0250E-02,7.0814E-02,7.1209E-02,7.0508E-02,7.5291E-02,7.4408E-02,8.4838E-02,8.6743E-02,9.0553E-02,8.5966E-02,9.0658E-02,9.0575E-02,9.4533E-02,1.0214E-01,1.0825E-01,1.0394E-01,1.1480E-01,1.1854E-01,1.1658E-01,1.1827E-01,1.3446E-01,1.3883E-01,1.4474E-01,1.4161E-01,1.5716E-01,1.7160E-01,1.9030E-01,1.7449E-01,1.6651E-01,1.7496E-01,2.1254E-01,1.9707E-01,1.8680E-01,1.6439E-01,1.6599E-01,1.6858E-01,1.5570E-01,1.1826E-01,1.1883E-01,1.2213E-01,1.2038E-01,1.2968E-01,1.3185E-01,1.2883E-01,1.2033E-01,1.1697E-01,1.0981E-01,1.2305E-01,1.3318E-01,1.3006E-01,1.3392E-01,1.3765E-01,1.4745E-01,1.5174E-01,1.3058E-01,1.1892E-01,1.0777E-01,9.2962E-02,7.0131E-02,5.7214E-02,6.1613E-02,5.6436E-02,4.6295E-02,4.3149E-02,3.3909E-02,2.7800E-02,2.4718E-02,2.0841E-02,2.1893E-02,2.2250E-02,2.3517E-02,2.4672E-02,2.4472E-02,1.9717E-02,1.7941E-02,1.7038E-02,1.4294E-02,1.1901E-02,1.0160E-02,8.8203E-03,8.5288E-03,8.1238E-03,7.5195E-03,6.0935E-03,6.8655E-03,7.7056E-03,7.5118E-03,6.7498E-03,5.6291E-03,4.4115E-03,3.6839E-03,3.0691E-03,2.4613E-03,1.9396E-03,1.4775E-03,1.1381E-03,8.9165E-04,7.2371E-04,3.4602E-04,148,5,50
476,0090,Morgan Hill,1984,UCSC Lick Observatory,466,58135,6.19,148,90,180,0,37.3060,-121.6950,8.5,Calaveras fault south,46.90,47.67,45.47,,46.67,45.47,45.47,713.59,37.001,-122.06,MORGAN\LOB050.AT2,MORGAN\LOB320.AT2,MORGAN\LOB-UP.AT2,50,320,0.250,0.250,0.250,6.4565E-02,3.4233E+00,6.2062E-01,6.4650E-02,6.5000E-02,6.5065E-02,6.5223E-02,6.5727E-02,6.5799E-02,6.5664E-02,6.5468E-02,6.5453E-02,6.6139E-02,6.6593E-02,6.6980E-02,6.7306E-02,6.8017E-02,6.8871E-02,6.9391E-02,7.4969E-02,7.1797E-02,7.8209E-02,7.7129E-02,7.5846E-02,7.8694E-02,8.5832E-02,8.9167E-02,9.3196E-02,1.0925E-01,1.1498E-01,1.5137E-01,1.3906E-01,1.2718E-01,1.3248E-01,1.3857E-01,1.4145E-01,1.4620E-01,1.6019E-01,1.7836E-01,1.8273E-01,1.9492E-01,2.0543E-01,2.1744E-01,2.0650E-01,1.7284E-01,1.6858E-01,1.7482E-01,1.7271E-01,1.7228E-01,2.0931E-01,2.2287E-01,2.3804E-01,2.6337E-01,2.4436E-01,1.8617E-01,1.4039E-01,1.3191E-01,1.2616E-01,1.1178E-01,9.8988E-02,7.4522E-02,5.8523E-02,4.5259E-02,4.2507E-02,3.9365E-02,4.0655E-02,3.4795E-02,3.7431E-02,4.0863E-02,3.6911E-02,3.3864E-02,3.2247E-02,3.0457E-02,2.6970E-02,2.3554E-02,2.1522E-02,1.9655E-02,1.6126E-02,1.4588E-02,1.4720E-02,1.4743E-02,1.2896E-02,1.1613E-02,1.0745E-02,9.6113E-03,7.4017E-03,5.9658E-03,4.8930E-03,4.1314E-03,3.9087E-03,3.7074E-03,3.3392E-03,2.9558E-03,2.6438E-03,2.3432E-03,2.0360E-03,1.8955E-03,1.6904E-03,1.3908E-03,1.2037E-03,1.0143E-03,8.4493E-04,6.9210E-04,5.6470E-04,4.6117E-04,3.7832E-04,3.2070E-04,2.8225E-04,2.1498E-04,1.7432E-04,1.4536E-04,1.2456E-04,1.0703E-04,5.6354E-05,148,5,50
477,0091,"Lazio-Abruzzo, Italy",1984,Atina,604,,5.80,123,48,-96,1,41.7100,13.9020,14,,12.95,19.07,12.8,,19.31,18.89,18.22,585.04,41.622,13.8,ABRUZZO\ATI-NS.AT2,ABRUZZO\ATI-WE.AT2,ABRUZZO\ATI-UP.AT2,0,270,0.250,0.250,0.250,9.8855E-02,3.6082E+00,7.8283E-01,9.9352E-02,1.0181E-01,1.0223E-01,1.0230E-01,1.0659E-01,1.0748E-01,1.0864E-01,1.0989E-01,1.0993E-01,1.0985E-01,1.0869E-01,1.0995E-01,1.1052E-01,1.1317E-01,1.1857E-01,1.1970E-01,1.2761E-01,1.2383E-01,1.3164E-01,1.4120E-01,1.4708E-01,1.3107E-01,1.3037E-01,1.3662E-01,1.7758E-01,2.0584E-01,2.3219E-01,2.8554E-01,2.7034E-01,2.4723E-01,2.4757E-01,2.7215E-01,2.2614E-01,2.1931E-01,2.4560E-01,2.5311E-01,2.5145E-01,2.6501E-01,2.6515E-01,3.1077E-01,3.1734E-01,2.8587E-01,2.3311E-01,2.2969E-01,2.2811E-01,2.0941E-01,1.7238E-01,1.5023E-01,1.4011E-01,1.3145E-01,1.4314E-01,1.4285E-01,1.3865E-01,1.4518E-01,1.4804E-01,1.5117E-01,1.5598E-01,1.2341E-01,1.1808E-01,9.3286E-02,8.6050E-02,6.9929E-02,6.9427E-02,6.8056E-02,6.1687E-02,5.6425E-02,4.9832E-02,4.5188E-02,3.7526E-02,3.2662E-02,2.5174E-02,2.0559E-02,1.7455E-02,1.4991E-02,1.2948E-02,1.1135E-02,9.6006E-03,8.3231E-03,6.4211E-03,5.5942E-03,5.3422E-03,5.0801E-03,4.4572E-03,4.1468E-03,3.6377E-03,3.4934E-03,3.2846E-03,2.9669E-03,2.6556E-03,2.5573E-03,2.4343E-03,2.3001E-03,2.2063E-03,2.0816E-03,1.9962E-03,1.7260E-03,1.4542E-03,1.1000E-03,8.5234E-04,6.8221E-04,5.7754E-04,4.9812E-04,4.3548E-04,3.8323E-04,3.3937E-04,2.7172E-04,2.2608E-04,1.8937E-04,1.5989E-04,1.3613E-04,7.3187E-05,123,5,50
478,0091,"Lazio-Abruzzo, Italy",1984,Garigliano-Centrale Nucleare,721,,5.80,123,48,-96,1,41.7100,13.9020,14,,50.62,52.52,49.33,,54.19,51.29,50.72,266.41,41.258,13.833,ABRUZZO\GCN-NS.AT2,ABRUZZO\GCN-WE.AT2,ABRUZZO\GCN-UP.AT2,0,270,0.375,0.250,0.375,6.3299E-02,6.4629E+00,9.3683E-01,6.3373E-02,6.3465E-02,6.3479E-02,6.3545E-02,6.3819E-02,6.3932E-02,6.4000E-02,6.4451E-02,6.4467E-02,6.4039E-02,6.4402E-02,6.5351E-02,6.5557E-02,6.5560E-02,6.5714E-02,6.6879E-02,6.6439E-02,6.5747E-02,6.5646E-02,6.5888E-02,6.7145E-02,6.7934E-02,6.9660E-02,7.0452E-02,7.3527E-02,7.9643E-02,9.3302E-02,9.7336E-02,8.8045E-02,9.7593E-02,1.0148E-01,1.0530E-01,1.0950E-01,1.1443E-01,1.2246E-01,1.2732E-01,1.3674E-01,1.3376E-01,1.4579E-01,1.6721E-01,1.6229E-01,1.5371E-01,1.5009E-01,1.5718E-01,1.7367E-01,1.8318E-01,1.4890E-01,1.6055E-01,1.5567E-01,1.4155E-01,1.5054E-01,1.8700E-01,2.0799E-01,2.0431E-01,1.9588E-01,1.8856E-01,2.0516E-01,2.1489E-01,2.3027E-01,2.1756E-01,2.0604E-01,1.7096E-01,1.5480E-01,1.3908E-01,1.3153E-01,1.3654E-01,1.2768E-01,1.1242E-01,8.7329E-02,7.8143E-02,6.3077E-02,4.2819E-02,3.3655E-02,3.4070E-02,2.9914E-02,2.4982E-02,1.9242E-02,1.5950E-02,1.3049E-02,1.1197E-02,1.0132E-02,9.3372E-03,8.1543E-03,6.5511E-03,5.1614E-03,4.0931E-03,3.7561E-03,3.5617E-03,3.3243E-03,3.1771E-03,3.0308E-03,2.8179E-03,2.6009E-03,2.5231E-03,2.4286E-03,2.1331E-03,1.6274E-03,1.2455E-03,1.0617E-03,8.9886E-04,7.5198E-04,6.3627E-04,5.4946E-04,4.7663E-04,4.1593E-04,3.2330E-04,2.6164E-04,2.2012E-04,1.8819E-04,1.6320E-04,9.2691E-05,123,5,50
